Thumb,IndexFinger,MiddleFinger,RingFinger,LittleFinger,accelerometer_x,accelerometer_y,accelerometer_z,temperature,gyro_x,gyro_y,gyro_z,Gesture
373,343,384,252,312,12244,8796,8876,26.18,-795,-215,49,0
373,344,384,252,312,12040,8884,8532,26.32,-697,-180,-41,0
373,344,384,252,311,11952,9256,8852,26.32,-536,-162,61,0
373,344,384,252,312,12160,9072,8820,26.32,-641,-324,-11,0
372,344,385,253,312,12192,8928,8692,26.41,-764,-216,-27,0
373,344,385,253,312,12028,9152,8716,26.37,-644,-47,21,0
373,345,385,253,312,12316,9060,8908,26.46,-608,-220,13,0
373,345,386,254,312,12120,8784,8912,26.55,-587,-355,123,0
373,345,386,253,312,12020,8920,8744,26.51,-773,-270,23,0
373,345,386,254,312,12176,8760,8724,26.55,-721,-95,-10,0
373,346,386,254,312,12112,8844,8508,26.46,-655,-176,112,0
373,346,386,254,312,12236,8980,8860,26.65,-804,-295,-145,0
373,346,387,254,312,12164,8664,8948,26.6,-600,-208,70,0
373,346,387,254,313,12064,8720,8820,26.74,-729,-306,-4,0
372,346,387,255,311,12056,8668,9116,26.79,-580,-112,109,0
372,347,387,255,311,12124,8832,8792,26.74,-712,-266,88,0
372,347,387,255,311,12220,8692,8840,26.84,-778,-360,-70,0
372,347,387,255,312,11892,8580,9188,26.98,-717,-315,41,0
372,347,387,255,312,12004,8584,8984,26.79,-623,-342,71,0
372,348,387,255,311,12024,8892,9212,26.98,-708,-248,-58,0
372,348,388,256,311,12032,8580,8812,26.88,-729,-254,10,0
372,348,388,256,311,12112,8548,9056,26.93,-787,-19,-111,0
372,348,388,256,311,12076,8612,8916,26.93,-846,-239,92,0
372,348,388,256,311,12036,8688,8680,26.88,-578,-48,-40,0
371,348,388,256,311,12260,8560,9168,26.98,-444,-80,-61,0
371,348,388,256,311,12148,8832,8860,27.12,-746,-162,50,0
372,348,388,257,311,12136,8812,8772,27.12,-773,-105,11,0
371,349,388,257,311,12144,8688,8904,27.07,-500,-211,27,0
372,349,388,257,312,12108,8684,9004,27.12,-539,-225,-38,0
372,349,388,257,312,12148,8788,9048,27.26,-541,-266,84,0
371,349,389,257,312,12000,8968,9296,27.12,-653,-232,32,0
371,349,389,258,312,12096,9168,9200,27.21,-672,-284,-64,0
372,349,389,258,312,11988,8736,8856,27.26,-610,-169,4,0
372,349,389,258,311,11904,8840,8768,27.31,-625,-224,-126,0
372,349,389,258,312,12256,8888,9064,27.26,-770,-255,-85,0
